Description,Material,Thickness,Strategy
"PLATE, AL ALY, .188"" THK, 5052 H32 >80""",Aluminum 5052,0.18,AIR
"PLATE, AL ALY, .188"" THK, 5052 H32 GENERAL",Aluminum 5052,0.18,AIR
"PLATE, AL ALY, .5"" THK, 5052 H32",Aluminum 5052,0.5,Air
"PLATE, AL ALY, 0.188 in THK, 5052",Aluminum 5052,0.18,AIR
"SHEET, AL ALY, .125"" THK, 3003 H22",Aluminum 3003 CHK,0.18,AIR
"SHEET, AL ALY, .125"" THK, 3003 H22 APT FTQ",Aluminum 3003 CHK FTQ,0.18,Air
"SHEET, AL ALY, 0.125 in THK, 5052",Aluminum 5052,0.12,AIR
"SHEET, AL ALY, 0.125 in THK, 5052 H32",Aluminum 5052,0.12,AIR
"PLATE, AL ALY, 0.1875 in THK, 5052",Aluminum 5052,0.18,AIR
"SHEET, AL ALY, .125"" THK, 5052 H32",Aluminum 5052,0.12,AIR
"SHEET, AL ALY, 0.09"" THK, 5052 H32",Aluminum 5052,0.09,Air
"PLATE, AL ALY, .25"" THK, 5052 H32",Aluminum 5052,0.25,Air
"PLATE, AL ALY, .375"" THK, 5052 H32",Aluminum 5052,0.38,Air
"SHEET, AL ALY, .125"" THK, 3003 H22, ATP",Aluminum 3003 CHK,0.18,Air
"SHEET, AL ALY, .125"" THK, 3003 H22, ATP FTQ",Aluminum 3003 CHK FTQ,0.18,Air
"SHEET, MS, .125"" THK, 44W",Mild Steel-A36,0.12,O2
"PLATE, AL ALY, .188"" THK, 5052 H32 <80""",Aluminum 5052,0.18,AIR
"SHEET, SS, .125"" THK, 304",Stainless Steel,0.12,N2
"SHEET, AL ALY, 0.0625"" THK, 5052 H32",Aluminum 5052,0.06,Air
"SHEET, SS, .063"" THK, 304",Stainless Steel,0.06,N2
"SHEET, SS, .08"" THK, 304",Stainless Steel,0.08,N2
"PLATE, AL ALY, .188"" THK, 5052 H32 NEW TOOL",Aluminum 5052,0.18,AIR
"PLATE, AL ALY, 0.250 in THK, 5052",Aluminum 5052,0.25,Air
"SHEET, AL ALY, 0.188 in THK, 5052",Aluminum 5052,0.18,AIR
"PLATE, AL ALY, .188"" THK, 5052 H32",Aluminum 5052,0.18,AIR
"PLATE,.1875 THK, AL ALY 5052 H32",Aluminum 5052,0.18,AIR
"PLATE, MS, .1875"" THK, 44W",Mild Steel-A36,0.18,O2
"PLATE, MS, .25"" THK, 44W",Mild Steel-A36,0.25,O2
"PLATE, MS, .375"" THK, 44W",Mild Steel-A36,0.375,O2
"PLATE, MS, .5"" THK, 44W",Mild Steel-A36,0.5,O2
"SHEET, SS, .1875"" THK, 304",Stainless Steel,0.18,N2
"SHEET, AL ALY, .125"" THK, 3003 H22 FTQ",Aluminum 3003 CHK FTQ,0.18,Air
"PLATE, AL ALY, 0.500 in THK, 5052",Aluminum 5052,.5,Air
"SHEET, AL ALY, .125"" THK, 5052 H31",Aluminum 5052,0.12,AIR
"AL 1/8"" 2.2 mm",Aluminum 5052,0.12,AIR
"PLATE, SS, .375"" THK, 304",Stainless Steel,0.375,N2
"SHEET, SS, .25"" THK, 304",Stainless Steel,0.250,N2
"PLATE, MS, .625"" THK, 44W",Mild Steel-A36,0.63,O2
"PLATE, MS, .75"" THK, 44W",Mild Steel-A36,0.75,O2
"PLATE, MS, 0.250 in THK, 44W",Mild Steel-A36,0.25,O2
"SHEET, SS, .036"" THK, 304",Stainless Steel,0.036,N2
"PLATE, SS, .5"" THK, 304",Stainless Steel,0.5,N2
